TrialT,Group,Frame,Noun,Transform,ObjPair,StartLayout,TransformS,NounDist,P1,P2,P3,P4,P5,P6,P7,A4,A6,A7,Block
1,Shared,Def,NotFirst,Morph,1-CARDUCK,AAB,Center,Left,001.png,002.png,003.png,004.png,005.png,006.png,007.png,1.mp3,b1.mp3,5.mp3,1
2,Shared,Def,NotFirst,Morph,2-PHONEDOLL,ABA,Left,Right,008.png,009.png,010.png,011.png,012.png,013.png,014.png,2.mp3,b2.mp3,6.mp3,2
3,Shared,Def,NotFirst,Morph,3-BLOCKCOW,BAA,Right,Center,015.png,016.png,017.png,018.png,019.png,020.png,021.png,3.mp3,b3.mp3,5.mp3,3
4,Shared,Def,FirstMentioned,Morph,4-DINOJACK,ABB,Center,Right,022.png,023.png,024.png,025.png,026.png,027.png,028.png,4.mp3,b4.mp3,7.mp3,4
9,Shared,Def,FirstMentioned,Morph,9-TRUCKSHOVEL,BAA,Right,Left,029.png,030.png,031.png,032.png,033.png,034.png,035.png,1.mp3,b5.mp3,6.mp3,1
10,Shared,Def,FirstMentioned,Morph,10-CRAYONKITE,AAB,Left,Right,036.png,037.png,038.png,039.png,040.png,041.png,042.png,2.mp3,b6.mp3,7.mp3,2
11,Shared,Def,FirstMentioned,Morph,11-GUITARCAT,ABA,Left,Center,043.png,044.png,045.png,046.png,047.png,048.png,049.png,3.mp3,b7.mp3,5.mp3,3
12,Shared,Def,NotFirst,Morph,12-YOYOGIRAFFE,BAA,Right,Left,050.png,051.png,052.png,053.png,054.png,055.png,056.png,4.mp3,b8.mp3,6.mp3,4
21,Shared,Indef,NotFirst,Morph,5-BOOKPLANE,BAB,Right,Center,057.png,058.png,059.png,060.png,061.png,062.png,063.png,1.mp3,b9.mp3,7.mp3,1
22,Shared,Indef,NotFirst,Morph,6-BEARBALL,ABB,Right,Left,064.png,065.png,066.png,067.png,068.png,069.png,070.png,2.mp3,b10.mp3,5.mp3,2
23,Shared,Indef,NotFirst,Morph,7-TRAINDRUM,BBA,Left,Right,071.png,072.png,073.png,074.png,075.png,076.png,077.png,3.mp3,b11.mp3,6.mp3,3
24,Shared,Indef,NotFirst,Morph,8-ROBOTBOAT,BAB,Left,Center,078.png,079.png,080.png,081.png,082.png,083.png,084.png,4.mp3,b12.mp3,7.mp3,4
29,Shared,Indef,FirstMentioned,Morph,13-ROCKETHAMMER,BBA,Center,Left,085.png,086.png,087.png,088.png,089.png,090.png,091.png,1.mp3,b13.mp3,5.mp3,1
30,Shared,Indef,FirstMentioned,Morph,14-BIKEHIPPO,BAB,Right,Left,092.png,093.png,094.png,095.png,096.png,097.png,098.png,2.mp3,b14.mp3,6.mp3,2
31,Shared,Indef,FirstMentioned,Morph,15-PONYFRISBEE,ABB,Center,Right,099.png,100.png,101.png,102.png,103.png,104.png,105.png,3.mp3,b15.mp3,7.mp3,3
32,Shared,Indef,FirstMentioned,Morph,16-BUCKETHOUSE,BBA,Left,Center,106.png,107.png,108.png,109.png,110.png,111.png,112.png,4.mp3,b16.mp3,5.mp3,4
