TrialT,Group,Frame,Noun,Transform,ObjPair,StartLayout,TransformsideOFREP ,TransformS,NounDist,P1,P2,P3,P4,P5,P6,P7,A4,A5,A6
1,Shared,Indef,FirstMentioned,Morph,1-CARDUCK,AAB,Right,Center,Left,1.png,2.png,3.png,4.png,5.png,6.png,7.png,1.mp3,a1.mp3,b1.mp3
2,Shared,Indef,FirstMentioned,Morph,2-PHONEDOLL,ABA,Left,Left,Right,8.png,9.png,10.png,11.png,12.png,13.png,14.png,2.mp3,a2.mp3,b2.mp3
3,Shared,Indef,FirstMentioned,Morph,3-BLOCKCOW,BAA,Right,Right,Center,15.png,16.png,17.png,18.png,19.png,20.png,21.png,3.mp3,a3.mp3,b3.mp3
4,Shared,Indef,FirstMentioned,Morph,4-DINOJACK,AAB,Right,Center,Right,22.png,23.png,24.png,25.png,26.png,27.png,28.png,4.mp3,a4.mp3,b4.mp3
5,Shared,Indef,FirstMentioned,Flip,5-BOOKPLANE,ABA,Right,Right,Left,29.png,30.png,31.png,32.png,33.png,34.png,35.png,1.mp3,a5.mp3,b5.mp3
6,Shared,Indef,FirstMentioned,Flip,6-BEARBALL,BAA,Left,Center,Right,36.png,37.png,38.png,39.png,40.png,41.png,42.png,2.mp3,a6.mp3,b6.mp3
7,Shared,Indef,FirstMentioned,Flip,7-TRAINDRUM,AAB,Left,Left,Center,43.png,44.png,45.png,46.png,47.png,48.png,49.png,3.mp3,a7.mp3,b7.mp3
8,Shared,Indef,FirstMentioned,Flip,8-ROBOTBOAT,ABA,Right,Right,Left,50.png,51.png,52.png,53.png,54.png,55.png,56.png,4.mp3,a8.mp3,b8.mp3
9,Shared,Indef,NotFirst,Morph,9-TRUCKSHOVEL,BAA,Right,Right,Left,57.png,58.png,59.png,60.png,61.png,62.png,63.png,1.mp3,a9.mp3,b9.mp3
10,Shared,Indef,NotFirst,Morph,10-CRAYONKITE,AAB,Left,Left,Right,64.png,65.png,66.png,67.png,68.png,69.png,70.png,2.mp3,a10.mp3,b10.mp3
11,Shared,Indef,NotFirst,Morph,11-GUITARCAT,ABA,Left,Left,Center,71.png,72.png,73.png,74.png,75.png,76.png,77.png,3.mp3,a11.mp3,b11.mp3
12,Shared,Indef,NotFirst,Morph,12-YOYOGIRAFFE,BAA,Right,Right,Left,78.png,79.png,80.png,81.png,82.png,83.png,84.png,4.mp3,a12.mp3,b12.mp3
13,Shared,Indef,NotFirst,Flip,13-ROCKETHAMMER,AAB,Right,Center,None,85.png,86.png,87.png,88.png,89.png,90.png,91.png,1.mp3,a13.mp3,b13.mp3
14,Shared,Indef,NotFirst,Flip,14-BIKEHIPPO,ABA,Left,Left,None,92.png,93.png,94.png,95.png,96.png,97.png,98.png,2.mp3,a14.mp3,b14.mp3
15,Shared,Indef,NotFirst,Flip,15-PONYFRISBEE,BAA,Left,Center,None,99.png,100.png,101.png,102.png,103.png,104.png,105.png,3.mp3,a15.mp3,b15.mp3
16,Shared,Indef,NotFirst,Flip,16-BUCKETHOUSE,AAB,Right,Center,None,106.png,107.png,108.png,109.png,110.png,111.png,112.png,4.mp3,a16.mp3,b16.mp3
17,Shared,Def,NotFirst,Flip,1-CARDUCK,BBA,Right,Center,None,113.png,114.png,115.png,116.png,117.png,118.png,119.png,1.mp3,a17.mp3,b17.mp3
18,Shared,Def,NotFirst,Flip,2-PHONEDOLL,BAB,Right,Right,None,120.png,121.png,122.png,123.png,124.png,125.png,126.png,2.mp3,a18.mp3,b18.mp3
19,Shared,Def,NotFirst,Flip,3-COWBLOCK,ABB,Left,Center,None,127.png,128.png,129.png,130.png,131.png,132.png,133.png,3.mp3,a19.mp3,b19.mp3
20,Shared,Def,NotFirst,Flip,4-DINOJACK,BBA,Left,Left,None,134.png,135.png,136.png,137.png,138.png,139.png,140.png,4.mp3,a20.mp3,b20.mp3
21,Shared,Def,NotFirst,Morph,5-BOOKPLANE,BAB,Right,Right,Center,141.png,142.png,143.png,144.png,145.png,146.png,147.png,1.mp3,a21.mp3,b21.mp3
22,Shared,Def,NotFirst,Morph,6-BEARBALL,ABB,Right,Right,Left,148.png,149.png,150.png,151.png,152.png,153.png,154.png,2.mp3,a22.mp3,b22.mp3
23,Shared,Def,NotFirst,Morph,7-TRAINDRUM,BBA,Left,Left,Right,155.png,156.png,157.png,158.png,159.png,160.png,161.png,3.mp3,a23.mp3,b23.mp3
24,Shared,Def,NotFirst,Morph,8-ROBOTBOAT,BAB,Left,Left,Center,162.png,163.png,164.png,165.png,166.png,167.png,168.png,4.mp3,a24.mp3,b24.mp3
25,Shared,Def,FirstMentioned,Flip,9-TRUCKSHOVEL,ABB,Right,Right,Center,169.png,170.png,171.png,172.png,173.png,174.png,175.png,1.mp3,a25.mp3,b25.mp3
26,Shared,Def,FirstMentioned,Flip,10-CRAYONKITE,BBA,Right,Center,Left,176.png,177.png,178.png,179.png,180.png,181.png,182.png,2.mp3,a26.mp3,b26.mp3
27,Shared,Def,FirstMentioned,Flip,11-GUITARCAT,BAB,Left,Left,Right,183.png,184.png,185.png,186.png,187.png,188.png,189.png,3.mp3,a27.mp3,b27.mp3
28,Shared,Def,FirstMentioned,Flip,12-YOYOGIRAFFE,ABB,Left,Center,Right,190.png,191.png,192.png,193.png,194.png,195.png,196.png,4.mp3,a28.mp3,b28.mp3
