TrialT,Transform,Frame,Noun,Discourse,ObjPair,StartLayout,TransformsideOFREP ,TransformS,NounDist,P1,P2,P3,P4,P5,P6,T1,T2
1,Morph,Indef,Start,Shared,1-CARDUCK,AAB,Right,Center,Left,001.png,002.png,003.png,004.png,005.png,006.png,1500,2500
2,Morph,Indef,Start,Shared,2-PHONEDOLL,ABA,Left,Left,Right,007.png,008.png,009.png,010.png,011.png,012.png,1500,2500
3,Morph,Indef,Start,Shared,3-BLOCKCOW,BAA,Right,Right,Center,013.png,014.png,015.png,016.png,017.png,018.png,1500,2500
4,Morph,Indef,Start,Shared,4-DINOJACK,AAB,Right,Center,Right,019.png,020.png,021.png,022.png,023.png,024.png,1500,2500
5,Morph,Indef,Start,Disjoint,5-BOOKPLANE,ABA,Right,Right,Left,025.png,026.png,027.png,028.png,029.png,030.png,2500,1500
6,Morph,Indef,Start,Disjoint,6-BEARBALL,BAA,Left,Center,Right,031.png,032.png,033.png,034.png,035.png,036.png,2500,1500
7,Morph,Indef,Start,Disjoint,7-TRAINDRUM,AAB,Left,Left,Center,037.png,038.png,039.png,040.png,041.png,042.png,2500,1500
8,Morph,Indef,Start,Disjoint,8-ROBOTBOAT,ABA,Right,Right,Left,043.png,044.png,045.png,046.png,047.png,048.png,2500,1500
9,Morph,Indef,Transfomed,Shared,9-TRUCKSHOVEL,BAA,Right,Right,Left,049.png,050.png,051.png,052.png,053.png,054.png,1500,2500
10,Morph,Indef,Transfomed,Shared,10-CRAYONKITE,AAB,Left,Left,Right,055.png,056.png,057.png,058.png,059.png,060.png,1500,2500
11,Morph,Indef,Transfomed,Shared,11-GUITARCAT,ABA,Left,Left,Center,061.png,062.png,063.png,064.png,065.png,066.png,1500,2500
12,Morph,Indef,Transfomed,Shared,12-YOYOGIRAFFE,BAA,Right,Right,Left,067.png,068.png,069.png,070.png,071.png,072.png,1500,2500
13,Morph,Indef,Transfomed,Disjoint,13-ROCKETHAMMER,AAB,Right,Center,Right,073.png,074.png,075.png,076.png,077.png,078.png,2500,1500
14,Morph,Indef,Transfomed,Disjoint,14-BIKEHIPPO,ABA,Left,Left,Center,079.png,080.png,081.png,082.png,083.png,084.png,2500,1500
15,Morph,Indef,Transfomed,Disjoint,15-PONYFRISBEE,BAA,Left,Center,Left,085.png,086.png,087.png,088.png,089.png,090.png,2500,1500
16,Morph,Indef,Transfomed,Disjoint,16-BUCKETHOUSE,AAB,Right,Center,Right,091.png,092.png,093.png,094.png,095.png,096.png,2500,1500
17,Morph,Def,Transfomed,Disjoint,1-CARDUCK,BBA,Right,Center,Right,097.png,098.png,099.png,100.png,101.png,102.png,2500,1500
18,Morph,Def,Transfomed,Disjoint,2-PHONEDOLL,BAB,Right,Right,Center,103.png,104.png,105.png,106.png,107.png,108.png,2500,1500
19,Morph,Def,Transfomed,Disjoint,3-BLOCKCOW,ABB,Left,Center,Left,109.png,110.png,111.png,112.png,113.png,114.png,2500,1500
20,Morph,Def,Transfomed,Disjoint,4-DINOJACK,BBA,Left,Left,Center,115.png,116.png,117.png,118.png,119.png,120.png,2500,1500
21,Morph,Def,Transfomed,Shared,5-BOOKPLANE,BAB,Right,Right,Center,121.png,122.png,123.png,124.png,125.png,126.png,1500,2500
